Genes	N_G005	N_G006	N_G010	N_G012	N_G014	N_G016	N_G022	N_G036	N_G038	N_G039	N_G043	N_G044	N_G046	N_G055	N_G059	N_G061	N_G064	N_G066	N_G076	N_G079	N_G080	N_G084	N_G085	N_G091	N_G102	N_G116	N_G117
C9orf98	-1.9378	-1.6128	-1.9507	-2.0181	-1.6812	-1.6097	-1.9957	-2.0769	-1.4296	-1.9706	-1.764	-0.5714	-0.9598	-1.7706	-1.9833	-0.1418	-0.1533	-0.7984	-2.0458	-1.9839	-1.3417	-1.7647	-1.926	-1.4585	-0.9439	-1.0287	-1.6044
CA1	-0.4562	-0.225	-0.4105	-0.5064	-0.0496	-0.5419	-0.2198	-0.4335	-0.0484	-0.4793	-0.3835	-0.5778	-0.1646	-0.428	-0.4348	-0.0414	0.2277	-0.2763	-0.286	-0.2213	0.0049	-0.341	-0.5245	-0.0865	-0.4733	-0.5558	0.1277
CA10	-3.0591	-3.2545	-3.1401	-3.2931	-2.7566	-3.7474	-3.3031	-2.9928	-4.6797	-2.8018	-2.8041	-2.9278	-4.0399	-4.243	-4.6169	-3.087	-3.1031	-3.4433	-3.318	-4.2091	-3.0764	-4.5965	-3.2188	-2.7282	-3.5086	-3.3381	-3.1796
CA11	-2.837409091	-2.746609091	-2.045709091	-2.915909091	-2.276809091	-2.332909091	-2.739909091	-3.073509091	-2.513509091	-2.631509091	-2.379309091	-2.329609091	-2.842909091	-3.076509091	-3.235009091	-3.063409091	-3.172309091	-2.168709091	-2.868409091	-2.660909091	-2.819609091	-2.577909091	-2.583609091	-2.532909091	-2.565209091	-2.972009091	-2.869609091
CA12	1.065964286	2.803264286	2.197364286	3.310864286	3.045264286	2.302464286	2.974464286	2.175164286	2.537464286	2.761564286	2.658664286	2.385564286	2.804964286	1.977064286	3.672264286	1.694664286	2.128164286	2.279864286	1.924964286	1.399864286	1.889064286	2.110464286	1.795664286	2.192964286	2.761464286	2.625164286	2.452064286
CA13	0.1168	0.2876	-0.6442	-0.0646	-0.4628	-0.2294	0.057	-0.102	0.1798	0.4657	0.141	0.1076	0.4417	0.2722	0.1727	-0.1338	-0.2199	0.2036	0.256	0.5822	0.2142	-0.2946	0.3395	-0.2462	-0.3091	0.3092	0.1377
CA14	0.9274	0.0129	1.1428	-0.1428	0.236	-0.2574	0.2436	0.0922	0.6167	-0.3288	-0.1993	-0.4053	-0.6416	-0.5457	-0.223	-0.2512	-0.6418	1.0749	0.4421	0.6959	0.63	0.3734	0.8477	0.4995	0.1216	-0.1512	0.2526
CA2	-2.6014625	-1.2139625	-2.2504625	-2.2989625	-2.4457625	-2.7501625	-2.0905625	-2.3026625	-2.1284625	-2.0262625	-2.0246625	-1.5533625	-2.7272625	-3.1635625	-2.2600625	-2.2911625	-2.3587625	-1.2720625	-1.0261625	-1.0366625	-1.3169625	-1.9174625	-2.7745625	-1.1399625	-2.2456625	-1.6485625	-1.6406625
CA3	-0.6894	0.3177	-1.5427	-1.5563	-1.5773	0.0381	-1.7108	-1.6273	-1.505	-0.8556	-0.7026	-1.6228	0.3605	-1.1239	-0.298	-2.0099	-1.3081	0.0575	-0.0729	1.345	-0.4452	-1.3971	0.1764	-0.655	-1.1846	0.7059	-0.258
CA4	-4.1116	-4.1454	-3.9803	-2.546	-3.7401	-2.3837	-3.772	-3.9512	-3.4155	-3.4043	-3.872	-3.4833	-2.1486	-3.9541	-3.3641	-4.327	-3.8491	-3.9755	-3.8854	-3.9775	-3.461	-3.9477	-3.4798	-3.2584	-4.1509	-2.6836	-3.6149
CA5A	0.066	0.5524	0.3937	0.195	0.3471	-0.1851	0.0219	-0.2225	0.0325	0.537	0.2458	0.3897	0.5635	0.2445	0.2257	0.3477	0.3238	0.5246	0.0655	0.1915	0.4133	0.2553	0.265	0.4007	0.264	0.2573	0.4254
CA5B	-0.2193	-0.2386	-0.211	-0.2136	-0.2276	-0.1949	-0.2077	-0.1998	-0.3394	-0.5026	-0.3261	-0.237	0.2172	-0.2244	-0.2211	-0.6273	-0.1317	0.3878	0.0271	-0.2844	-0.464	-0.2313	-0.3658	-0.2719	0.1371	-0.3851	0.0982
CA6	-0.108018182	-0.134518182	-0.097218182	-0.095218182	-0.109618182	-0.072218182	-0.100418182	0.451681818	-0.117118182	-0.109718182	-0.076818182	-0.115518182	-0.102918182	-0.075818182	-0.103118182	0.722081818	0.725381818	-0.126618182	-0.128918182	-0.099818182	1.277281818	-0.133518182	-0.102018182	-0.251118182	-0.123918182	-0.119818182	-0.172318182
CA7	-0.439966667	-0.835166667	-0.793266667	-0.789466667	-0.187566667	-0.764966667	-0.527366667	-0.791366667	-0.814066667	-0.157666667	0.097933333	-1.174566667	-0.794366667	-0.756066667	-0.797166667	-0.987266667	-0.838566667	-0.503566667	-0.832266667	-0.793066667	-1.042366667	-0.837866667	-0.798266667	-0.481366667	-0.824266667	-0.991066667	-0.935166667
CA8	-0.2163	-0.5214	-0.5011	-0.6608	-0.5227	-0.496	-0.4961	-0.4887	-0.5192	-0.5198	-0.4684	-0.534	-0.714	-0.5433	-0.5152	-0.8497	-0.9152	-0.4863	-0.5095	-0.519	-0.5445	-0.511	-0.5263	-0.5527	-0.5218	-0.5224	-0.5371
CA9	2.183827273	2.196127273	2.248127273	3.061627273	2.262627273	2.283827273	2.236127273	2.159027273	2.433627273	2.331127273	2.413327273	2.093427273	3.634627273	2.794327273	3.242127273	2.385627273	2.207927273	2.406627273	2.039227273	2.128827273	2.082227273	2.284127273	2.167127273	2.149027273	2.148627273	2.767727273	2.177227273
CAB39	-1.054425	-1.043125	-0.988925	-1.148525	-1.311825	-1.349525	-1.056525	-0.733425	-1.088025	-1.002625	-1.173825	-1.218725	-1.397525	-1.117725	-1.036425	-1.203025	-1.128625	-1.160325	-0.992825	-1.043425	-1.003325	-1.082125	-0.999925	-1.084225	-1.039525	-1.104225	-1.163925
CAB39L	-1.926761538	-1.864061538	-2.124561538	-2.278361538	-2.195261538	-2.443761538	-2.019861538	-2.369161538	-1.949761538	-2.286661538	-2.514561538	-2.056861538	-1.966361538	-2.315261538	-1.964961538	-2.040361538	-2.134661538	-1.898961538	-2.416861538	-2.138661538	-1.568361538	-2.018361538	-1.904361538	-2.280561538	-1.763161538	-2.616661538	-1.892361538
CABC1	0.509309091	-0.057890909	-0.269190909	-0.006590909	-0.089690909	-0.051090909	0.079909091	0.187409091	-0.216590909	0.032709091	0.035209091	0.079609091	-0.017390909	0.141509091	-0.020590909	0.088609091	0.115709091	0.280309091	0.080109091	0.006709091	0.083109091	0.153909091	0.320909091	-0.118590909	0.243409091	-0.139690909	0.100509091
CABIN1	-0.273692308	-0.303192308	-0.697892308	-0.506492308	-0.783492308	-0.429492308	-0.676992308	-0.796692308	-0.294792308	-0.787292308	-0.524792308	-0.462992308	-0.115692308	-0.461692308	-0.506892308	-0.580092308	-0.607592308	-0.481992308	-0.442592308	-0.695692308	-0.465192308	-0.585092308	-0.646292308	-0.451792308	-0.429992308	-0.531292308	-0.584292308
CABLES1	0.07435	-0.85355	-0.12545	-0.92675	-1.53605	-0.38305	-1.39995	-0.35675	-1.07015	-1.24585	-1.04055	-1.54695	-1.75845	-0.58805	-1.10435	-1.31805	-0.79565	-0.37865	-1.56825	0.89625	-0.86055	-1.25575	-0.41125	-1.49115	-1.64565	-0.57855	-0.70835
CABLES2	0.0428	-0.0382	-0.098	-0.1984	0.1666	0.0165	0.1205	-0.2017	-0.0837	-0.1288	-0.0218	-0.0116	-0.0078	0.0666	-0.0131	0.0013	0.2573	-0.224	-0.1447	-0.2157	0.1455	0.0767	0.1649	-0.0471	-0.2999	-0.1119	0.38
CABP1	-3.5506125	-4.3767125	-4.3644125	-4.4448125	-3.9723125	-4.3653125	-4.1124125	-4.3399125	-4.4608125	-3.7997125	-3.3215125	-4.1780125	-4.0370125	-4.4180125	-4.7148125	-4.6941125	-4.7400125	-4.5695125	-4.6727125	-4.4661125	-4.0764125	-4.7678125	-3.4324125	-4.1182125	-4.1985125	-3.8470125	-4.4544125
CABP2	0.1661	0.144	0.1746	0.1736	0.1932	0.1939	0.1767	0.1848	0.1559	0.3702	0.2033	0.3437	0.1621	0.1721	0.1656	0.1651	0.3919	0.1651	0.153	0.1673	0.4193	1.2657	0.1693	0.3261	-0.1901	0.1534	0.1054
CABP4	-0.234466667	0.106533333	-0.256366667	-0.185166667	-0.387466667	-0.568766667	-0.674266667	-0.177866667	-0.287866667	-0.099566667	-0.626366667	0.079333333	0.148533333	-0.438866667	-0.342266667	-0.360966667	-0.459766667	-0.144866667	-0.049666667	-0.135966667	-0.447766667	-0.494066667	-0.220766667	-0.300966667	-0.331866667	0.113633333	-0.282866667
CABP5	0.038466667	-0.049333333	0.008266667	0.084266667	0.122966667	-0.128533333	-0.113533333	0.168966667	0.034566667	0.077466667	0.068266667	0.010566667	0.144566667	0.103066667	0.001066667	0.223866667	-0.026933333	0.162466667	0.008866667	-0.057333333	-0.149033333	0.221266667	-0.143933333	-0.045633333	-0.048333333	0.032466667	-0.117433333
CABP7	-0.11755	-0.31635	-0.04345	-0.34135	0.18785	-1.05425	-0.25165	-0.32665	-0.30135	-0.07935	0.53155	0.29285	-0.85995	-0.75945	-0.87125	-0.31315	-0.80085	-0.31885	-0.61175	-1.19425	-0.83715	-1.04365	-0.33565	-0.20325	-0.82585	-0.49375	-0.77775
CABYR	-1.7882	-2.2425	-2.1832	-2.8179	-2.613	-1.738	-3.2973	-1.356	-3.1736	-3.4388	-2.4126	-2.2218	-2.6539	-2.3193	-2.1495	-1.8278	-1.8416	-3.5645	-2.7215	-1.2814	-1.3393	-2.991	-3.66	-2.5385	-2.3923	-1.8894	-2.9676
CACHD1	-1.7382	-0.9841	-1.0937	-0.6329	-0.8705	-0.801	-0.9368	-0.8469	-0.7038	-1.6822	-1.1291	-1.7162	-2.0217	-1.9386	-1.116	-1.357	-1.251	-0.7306	-0.9293	-1.0893	-1.1286	-0.6962	-1.0282	-0.942	-0.9013	-1.6851	-0.9915
CACNA1A	-0.54675	-0.54375	-0.69265	-0.44045	-0.31925	-0.83975	-0.90715	-0.70665	-0.39155	-0.51055	-0.89515	-0.66375	-0.52145	-0.64225	0.02005	-0.29535	-0.54235	-0.55485	-0.63985	-0.54415	-0.62285	-1.06585	-0.68505	-0.76725	-0.69285	-0.27735	-0.69815
CACNA1B	-0.5845	-0.6358	-0.67	-0.3971	-0.3359	-0.3901	-0.5927	-0.6164	-0.5068	-0.4124	-0.3945	-0.564	-0.542	-0.4057	-0.5217	-0.4572	-0.5859	-0.6776	-0.6699	-0.5857	-0.5616	-0.7049	-0.6408	-0.5616	-0.6493	-0.6077	-0.658
CACNA1C	-2.734135714	-2.356035714	-1.956235714	-2.453935714	-2.218235714	-1.544535714	-2.650435714	-2.053235714	-2.358535714	-2.382635714	-1.839635714	-2.323535714	-2.556235714	-2.529235714	-2.810835714	-2.167335714	-2.133435714	-2.352535714	-2.622935714	-2.845735714	-2.216635714	-2.497835714	-2.234635714	-2.439335714	-2.673535714	-2.702235714	-2.706335714
CACNA1D	-1.475009091	-0.677109091	-1.258009091	-1.437109091	-0.689309091	-1.404609091	-1.046909091	-0.367009091	-1.463109091	-0.971809091	-1.278209091	-0.673709091	-1.222609091	-1.327009091	-1.312609091	-0.417009091	-0.428909091	-0.234809091	-1.604709091	-1.533609091	-0.355209091	-1.370509091	-0.686909091	-0.786309091	-0.673209091	-1.381709091	-0.854609091
CACNA1E	-0.659633333	-0.680433333	-0.770733333	-0.543833333	-0.395133333	-0.386733333	-0.624433333	-0.868133333	-0.677533333	-0.619433333	-0.559633333	-0.510633333	-0.665833333	-0.491433333	-0.718833333	-0.785833333	-0.758633333	-0.779533333	-0.717433333	-0.795333333	-0.720733333	-0.839433333	-0.750033333	-0.655433333	-0.770933333	-0.769933333	-0.922533333
CACNA1F	-1.4473	-1.4477	-1.7282	-1.5014	-1.7483	-1.5916	-1.5717	-1.5227	-1.4551	-1.7237	-1.5446	-1.6455	-1.346	-1.6628	-1.4875	-1.5982	-1.3117	-1.3565	-1.4901	-1.645	-1.348	-1.5803	-1.6438	-1.4462	-1.6545	-1.5448	-1.4844
CACNA1G	-2.44155	-2.02145	-1.67315	-2.42495	-1.73555	-0.57085	-1.92065	-2.72175	-2.14135	-2.11835	-2.29375	-1.98435	-0.93815	-2.20195	-2.75505	-1.18065	-1.24885	-1.45605	-1.64055	-2.59765	-2.09145	-1.97285	-1.46215	-1.79625	-2.39935	-1.58255	-2.00285
CACNA1H	-0.387033333	-0.518233333	-0.547733333	-0.416233333	-0.237333333	-0.290933333	-0.427733333	-0.799933333	-0.861733333	-0.473633333	-0.144533333	-0.461133333	-0.534133333	-0.519833333	-0.678033333	-0.218533333	-0.144133333	-0.542233333	-0.569333333	-0.755533333	-0.567533333	-0.458233333	-0.553033333	-0.555733333	-0.551133333	-0.615333333	-0.561433333
CACNA1I	-1.407254545	-1.158654545	-1.408554545	-1.205954545	-1.121354545	-1.052554545	-1.168354545	-2.494854545	-1.475854545	-1.253754545	-1.314954545	-1.104154545	-1.222054545	-1.197954545	-1.366954545	-1.364654545	-1.312954545	-1.211554545	-1.376854545	-1.877054545	-1.146554545	-1.365554545	-1.343654545	-1.151754545	-1.268854545	-1.376054545	-1.385154545
CACNA1S	-0.004666667	-0.380566667	-0.066266667	-0.062466667	0.157633333	0.327633333	0.009033333	-0.027766667	-0.014066667	0.058333333	-0.119966667	0.148233333	0.092733333	0.079233333	-0.238366667	-0.311466667	0.143733333	0.005933333	-0.006666667	-0.012166667	-0.010266667	-0.182066667	0.137133333	0.125233333	-0.044966667	-0.182266667	0.044333333
CACNA2D1	-1.0522	-2.34	-2.1812	-2.0705	-1.132	-1.5589	-1.4208	-1.0366	-1.3106	-0.5212	-2.116	-1.3177	-2.1953	-1.0628	-2.0138	-1.2243	-0.6292	-2.2156	-1.8804	-2.2065	-2.5664	-2.0556	-0.8032	-2.0653	-2.1401	-0.4712	-1.9315
CACNA2D2	-1.384509091	-1.540209091	-1.533109091	-1.640709091	-1.086309091	-1.393209091	-1.310409091	-0.549609091	-1.410309091	-1.345909091	-0.887909091	-1.446409091	-2.340109091	-2.087609091	-2.291709091	-0.908609091	-0.990009091	-1.046109091	-2.190409091	-1.734509091	-1.567509091	-2.069809091	-0.991109091	-1.119809091	-1.473109091	-2.047409091	-1.707009091
CACNA2D3	-3.265988889	-2.886088889	-2.840588889	-3.475788889	-2.595488889	-2.585588889	-2.803388889	-2.569288889	-3.491388889	-2.828588889	-2.208888889	-3.130788889	-3.795488889	-2.476588889	-3.694688889	-2.941088889	-3.276888889	-2.737188889	-3.796788889	-3.775688889	-3.105388889	-3.762488889	-2.892588889	-2.652088889	-3.409988889	-3.216588889	-3.228988889
CACNA2D4	0.2192625	0.2837625	0.1417625	0.1005625	0.2189625	-0.2172375	0.2855625	0.1290625	0.5893625	-0.0540375	0.1946625	0.4390625	0.0884625	0.7455625	0.1208625	-0.1329375	0.0279625	0.1387625	0.3716625	0.2629625	0.4504625	0.3521625	-0.0291375	0.5880625	0.2483625	-0.0335375	0.0437625
CACNB1	-3.252489474	-3.034889474	-3.037989474	-3.135589474	-2.584089474	-3.459689474	-3.042389474	-2.876789474	-3.231389474	-2.776489474	-2.637389474	-3.012389474	-3.296889474	-3.315589474	-3.476689474	-2.970789474	-2.999789474	-3.077689474	-3.312889474	-3.241089474	-3.111589474	-3.485789474	-3.063989474	-2.823589474	-3.241989474	-3.596289474	-3.261789474
CACNB2	-2.806438462	-1.792538462	-2.570038462	-1.584738462	-1.805238462	-1.456438462	-1.414038462	-1.357738462	-1.214738462	-2.605638462	-1.226038462	-2.302738462	-1.132238462	-2.379838462	-0.922938462	-0.938938462	-0.957138462	-1.351038462	-1.521238462	-0.891338462	-0.797838462	-2.575338462	-2.738938462	-2.379338462	-1.191338462	-1.139838462	-0.753538462
CACNB3	-1.3831625	-1.4251625	-1.3617625	-1.2738625	-1.0875625	-1.2226625	-1.3837625	-1.5722625	-1.2973625	-1.2858625	-1.2718625	-1.4713625	-1.4407625	-1.3285625	-1.4848625	-1.1702625	-1.4722625	-1.4133625	-1.5633625	-1.4003625	-1.4418625	-1.6047625	-1.4283625	-1.4403625	-1.5531625	-1.5047625	-1.5177625
CACNB4	-2.1821	-2.2239	-2.3763	-2.4148	-2.7392	-2.1148	-1.9282	-2.0585	-2.4153	-1.7425	-1.8957	-2.7211	-2.4576	-2.2806	-2.0228	-2.2217	-2.3984	-2.3215	-1.9543	-1.5613	-1.9874	-2.4936	-2.1305	-2.643	-2.022	-2.1332	-2.2513
CACNG1	-0.9593	-1.3526	-1.0029	-1.7207	-0.8763	-0.0887	-0.483	-1.8008	-0.7319	-1.4804	-1.3457	-1.6395	-1.7447	-1.3496	-1.6865	-0.5898	-0.4761	-0.9714	-0.9913	-1.5735	-1.0229	-0.6587	-1.1033	-1.1602	-0.1082	-1.592	-0.4742
CACNG2	-2.119	-2.5927	-2.4519	-2.4373	-2.2366	-3.4278	-2.358	-2.4143	-3.4999	-2.1485	-1.7052	-2.9778	-2.989	-3.1693	-3.4339	-2.2738	-2.4817	-2.264	-3.1355	-3.4517	-2.9525	-3.6703	-2.7705	-2.7162	-2.7058	-3.5133	-3.4102
CACNG3	-4.389425	-4.111925	-4.101025	-4.620225	-3.509925	-4.402425	-4.264425	-4.119325	-4.417325	-3.645325	-3.823925	-4.329825	-4.782325	-4.321925	-4.418625	-3.797325	-3.678125	-4.130225	-4.202025	-4.357425	-3.944625	-4.715025	-4.110025	-4.123125	-4.526225	-4.772325	-4.402825
CACNG4	-0.321969231	-0.360869231	0.386130769	-0.335169231	0.083830769	-0.805169231	-0.197969231	-0.125769231	0.048430769	-0.286669231	0.139730769	-0.623269231	-0.714869231	-0.442269231	-1.154669231	0.317530769	0.291030769	-0.226669231	-0.174269231	-0.686169231	0.158530769	-0.123869231	-0.174069231	-0.128269231	-0.148269231	-0.319669231	-0.113769231
CACNG5	-0.748666667	-0.001166667	-0.737566667	-0.735166667	-0.661666667	-0.711966667	-0.741466667	-0.732666667	-0.757566667	-0.749666667	-0.814566667	-0.755066667	-0.742366667	-0.713266667	-0.743066667	0.183033333	0.535633333	-0.784466667	-0.297166667	-0.739666667	-0.784666667	-0.775266667	-0.742366667	-0.581566667	-0.765066667	-0.760366667	-0.270066667
CACNG6	-0.1885625	0.4801375	-0.0975625	1.0711375	-0.1935625	0.9617375	0.2704375	0.1463375	0.4248375	-0.0378625	0.4281375	-0.3600625	0.0656375	0.1251375	-0.1185625	0.4685375	0.3031375	0.7132375	0.7672375	0.0267375	-0.5007625	0.7728375	0.2190375	0.0571375	0.2259375	0.1501375	0.1650375
CACNG7	0.1638	0.0278	-0.0115	0.0228	0.0278	-0.644	-0.2273	-0.8131	0.2588	-0.0852	0.1129	-0.2108	-0.2965	-0.3648	-0.7347	0.1117	0.0033	0.027	0.3154	-0.7661	-0.247	-0.0087	-0.3589	-0.1106	0.0896	-0.5028	-0.3236
CACNG8	-0.315	-0.378	-0.1991	-0.3768	0.101	-1.0545	-0.2228	-0.242	-0.5127	0.056	0.4144	-0.6541	-0.8755	-1.1168	-1.1812	-0.1995	-0.3524	-1.0072	-0.8776	-1.1575	-0.7711	-1.0164	-0.5695	-0.4448	-0.7069	-1.0556	-0.957
CACYBP	-0.25134375	0.16155625	-0.41584375	-0.12804375	-0.16634375	0.04575625	-0.26624375	0.35915625	-0.01404375	-0.12024375	-0.19844375	-0.19234375	-0.50464375	0.27345625	-0.08834375	-0.26414375	0.24445625	-0.11624375	-0.11594375	0.29525625	0.21225625	0.08615625	-0.12154375	-0.12144375	0.01185625	-0.16194375	-0.10504375
CAD	2.1516375	2.1872375	2.1201375	2.2521375	2.2674375	2.2679375	2.2643375	1.8943375	2.2007375	2.1739375	2.4159375	2.1673375	2.0417375	2.2086375	2.0273375	2.1655375	2.1062375	2.1991375	2.0768375	2.0153375	1.9717375	2.2123375	2.3509375	2.1963375	2.2200375	2.1108375	2.0944375
CADPS	-5.0784	-6.8968	-6.9929	-6.2716	-6.5399	-5.7733	-6.8696	-6.976	-4.4291	-7.1544	-6.8704	-6.6629	-5.7594	-6.9022	-5.5909	-6.2185	-6.2424	-7.0585	-7.0202	-7.0972	-6.7162	-6.8893	-5.3144	-6.61	-7.2285	-4.3251	-5.4771
CADPS2	-1.6198	-3.0054	-2.5809	-0.8758	-2.2029	-1.7369	-2.1907	-1.3241	-2.9179	-1.8398	-2.6971	-2.021	-2.6093	-1.5634	-0.8639	-2.9919	-3.2223	-1.6574	-1.3556	-2.6546	-3.1427	-2.6559	-2.1717	-2.4841	-2.4452	-1.5479	-3.0944
CALB1	-5.284725	-5.343725	-2.340125	-2.994425	-5.243025	-4.524625	-3.410625	-5.067325	-3.227925	-2.790025	-3.188025	-5.249725	-5.401925	-5.453225	-2.461625	-4.356325	-4.077525	-4.627925	-5.133125	-5.369825	-5.453225	-5.323325	-4.484225	-5.058225	-5.193225	-2.559825	-5.078825
CALB2	-3.421290909	-4.618590909	-3.736190909	-4.694390909	-4.136190909	-4.352690909	-3.758290909	-3.818990909	-4.394190909	-3.769290909	-4.358990909	-3.757490909	-4.753490909	-4.598590909	-4.511890909	-4.940590909	-4.912390909	-3.444690909	-4.036790909	-4.463990909	-4.208190909	-4.282690909	-2.799990909	-3.985290909	-4.119590909	-4.047590909	-4.168590909
CALCA	-0.164218182	-0.149918182	-0.113318182	-0.111518182	0.038581818	-0.275518182	-0.115818182	-0.244718182	-0.133018182	0.083881818	-0.157418182	0.168181818	-0.156218182	-0.094318182	-0.119518182	0.574281818	-0.116918182	-0.215018182	-0.185918182	-0.122918182	0.030781818	-0.148318182	-0.164818182	0.056481818	0.083881818	0.354181818	-0.181618182
CALCOCO1	-0.5177	-0.7277	-0.7856	-0.8067	-0.6629	-0.5228	-0.7907	-0.6924	-0.7715	-0.8495	-0.7662	-0.5009	-0.6496	-0.767	-0.7258	-0.4262	-0.5578	-0.4926	-0.4976	-0.77	-0.5948	-0.6612	-0.5202	-0.6588	-0.5917	-0.9271	-0.5741
CALCOCO2	0.130188889	0.478388889	0.363088889	0.478588889	0.228988889	0.176288889	0.407288889	0.146988889	0.184788889	0.573788889	0.180888889	0.262188889	0.558788889	0.404588889	0.610488889	0.402688889	0.348488889	0.480388889	0.329688889	0.235088889	0.269188889	0.389988889	0.258088889	0.235488889	0.435588889	0.511188889	0.190888889
CALCR	2.2334	2.2294	2.2145	2.2752	2.2791	2.8445	2.6003	2.782	2.345	2.6211	2.4109	2.7556	2.4526	1.9885	2.8903	1.9237	1.9919	2.2157	2.3033	2.1675	2.8619	2.331	2.2853	2.9318	2.0389	2.0816	2.7456
CALCRL	0.5383	1.2057	-0.5917	0.683	-0.4233	0.3822	0.0967	0.821	0.9257	0.9258	0.3053	0.4142	1.6244	-0.1015	1.2764	0.7275	0.8968	-0.3861	1.2707	-0.4859	0.6564	1.4359	0.9891	-0.2881	0.4603	1.6036	1.3357
CALD1	1.086146154	1.393046154	1.286846154	1.224146154	1.626246154	1.673046154	1.381946154	0.777346154	1.148046154	1.226846154	1.378746154	1.645746154	1.362746154	1.394346154	1.519146154	0.963046154	1.001846154	1.122846154	1.138746154	0.670446154	1.081946154	1.373246154	1.066746154	1.333546154	1.134846154	1.739946154	1.199746154
CALM1	-2.317853846	-1.887653846	-1.869753846	-1.972653846	-2.080153846	-2.729453846	-2.158153846	-2.019753846	-1.858953846	-2.129853846	-2.460153846	-1.791253846	-2.119353846	-2.341053846	-1.977153846	-2.084553846	-1.955953846	-2.056953846	-2.086753846	-1.920353846	-1.971153846	-1.927553846	-2.178553846	-1.778253846	-2.118753846	-2.242153846	-2.090453846
CALM2	-2.4399625	-2.4069625	-2.1581625	-2.3923625	-2.1191625	-2.4350625	-2.1864625	-2.0509625	-2.4699625	-2.0706625	-2.0046625	-2.5032625	-2.4751625	-2.1166625	-2.2764625	-2.2087625	-2.2487625	-2.1552625	-2.2873625	-2.3945625	-2.2773625	-2.3061625	-2.3243625	-2.1281625	-2.1058625	-2.3203625	-2.2040625
CALM3	-1.8573	-1.8566	-2.1416	-1.7777	-1.6429	-2.0988	-1.9197	-1.9221	-2.072	-1.8933	-1.7157	-2.027	-2.245	-2.061	-2.335	-1.985	-2.1272	-1.8597	-2.0683	-2.1505	-2.2671	-2.147	-2.1259	-1.7547	-2.116	-2.2268	-1.8554
CALML3	0.4695875	0.4301875	0.2709875	0.6151875	0.5227875	0.2460875	0.3894875	0.3176875	0.4055875	0.4534875	0.3757875	0.3869875	0.2308875	0.4701875	0.1533875	0.4491875	0.3196875	0.4267875	0.3930875	0.3384875	0.2054875	0.3056875	0.3068875	0.4690875	0.2735875	0.2407875	0.4959875
CALML4	0.482	0.8315	0.7534	0.9663	0.9269	1.1517	0.856	0.9137	0.7619	0.8598	0.9151	0.4493	0.6925	1.0395	0.5762	0.6434	0.7006	0.563	0.6446	1.2062	0.9275	0.696	0.7156	0.576	1.1295	0.7148	0.8757
CALML5	1.6611875	1.7084875	1.7397875	1.6802875	2.0952875	1.6129875	1.9910875	1.6714875	1.9166875	1.6617875	1.8324875	2.2303875	1.5611875	1.4374875	1.7424875	1.3929875	1.4580875	1.7744875	1.7633875	1.7830875	2.0590875	1.9091875	1.5054875	2.0651875	1.6424875	1.6015875	1.7246875
CALML6	-0.171433333	0.059766667	-0.006233333	-0.099633333	0.477366667	0.696566667	0.057666667	-0.146533333	0.067266667	0.535366667	0.134366667	0.627766667	0.268166667	0.240166667	0.201666667	-0.327933333	0.003666667	0.047566667	0.420766667	-0.067133333	0.403766667	0.416266667	0.144266667	0.558566667	0.406166667	-0.218833333	0.217866667
CALN1	-3.03515	-3.47985	-2.90155	-3.07125	-2.92925	-2.91105	-2.89645	-1.48165	-2.94655	-2.94065	-2.94435	-3.24505	-3.08965	-2.97245	-2.92085	-3.33945	-3.00355	-2.60445	-3.00515	-2.98355	-3.40965	-2.90135	-3.01445	-3.04295	-2.92405	-2.93735	-3.22935
CALR	1.0408	1.2156	0.9162	1.3091	1.1864	1.1888	1.1643	0.86	1.2087	1.2719	1.2308	1.0764	1.5592	1.2019	1.354	1.0314	0.7976	1.2049	1.3698	0.9723	0.8743	0.9697	0.9688	1.1354	1.1782	1.1643	0.9513
CALR3	0.9971	0.6568	1.0761	0.8362	0.8008	1.4562	1.3405	1.1131	1.1182	0.9648	0.6169	0.5871	0.9366	1.3203	1.1286	0.9734	0.7768	0.7047	0.4363	1.1078	0.6112	0.9835	0.9288	0.6886	0.793	1.0242	0.6586
CALU	1.403177778	1.564677778	1.782577778	1.340877778	1.444477778	1.658777778	1.428777778	1.113777778	1.490977778	1.477277778	1.141077778	1.461277778	1.946177778	1.346277778	1.525777778	1.059077778	0.946177778	1.140077778	1.341177778	1.165777778	1.223077778	1.401077778	1.260177778	1.158777778	0.964677778	1.593677778	1.135577778
CAMK1	-2.0988	-2.0849	-1.6721	-1.7764	-1.546	-1.6476	-1.7241	-1.8376	-1.7329	-1.6197	-1.5861	-1.4387	-1.7364	-1.6213	-1.7707	-1.536	-1.7503	-1.5568	-1.7606	-1.7227	-1.6902	-1.8512	-2.0506	-1.7933	-1.8629	-1.4426	-1.8002
CAMK1D	-3.661966667	-3.080766667	-2.872266667	-4.233566667	-3.223766667	-3.233666667	-3.383866667	-2.653666667	-2.794766667	-3.900066667	-3.096766667	-3.078766667	-3.659566667	-3.596166667	-4.274566667	-2.685466667	-2.530466667	-3.072566667	-2.880766667	-3.039266667	-2.473366667	-3.232466667	-3.372466667	-3.081766667	-2.888066667	-2.810166667	-3.215066667
